Year,State,Population,Number of agencies,Total law enforcement employees,Total male officers,Total female officers,Total male civilians,Total female civilians
2010,NORTH CAROLINA,9530637,510,32755,20401,2519,4426,5409
2010,NORTH DAKOTA,668266,107,1840,1205,134,193,308
2010,OHIO,9362390,607,27987,17782,1901,3465,4839
2010,OKLAHOMA,3749477,330,11667,7073,569,1692,2333
2010,OREGON,3794249,209,10195,5524,606,1746,2319
2010,PENNSYLVANIA,9609935,987,29488,22509,2646,1536,2797
2010,RHODE ISLAND,1052567,48,3164,2356,182,286,340
2010,SOUTH CAROLINA,4220787,274,14030,9134,1220,1349,2327
2010,SOUTH DAKOTA,812168,142,2411,1413,98,384,516
2010,TENNESSEE,6341016,453,25671,14474,1543,4405,5249
2010,TEXAS,25006973,1011,89897,48620,6272,15209,19796
2010,UTAH,2763885,135,6987,4499,371,871,1246
2010,VERMONT,365443,69,1516,1059,99,119,239
2010,VIRGINIA,7998552,279,23390,16199,2181,1368,3642
2010,WASHINGTON,6708828,259,14555,9451,954,1460,2690
2010,WEST VIRGINIA,1841354,351,4415,3361,112,360,582
2010,WISCONSIN,5671361,393,19423,11328,1767,2544,3784
2010,WYOMING,559627,66,1962,1295,108,125,434
2011,ALABAMA,4463637,342,16185,10019,756,2015,3395
2011,ALASKA,722151,40,1990,1179,106,238,467
2011,ARIZONA,6123315,108,20759,10810,1259,3880,4810
2011,ARKANSAS,2925872,276,9074,5265,498,1321,1990
2011,CALIFORNIA,32336199,463,116797,67432,10152,13729,25484
2011,COLORADO,5061016,235,16700,9864,1391,1834,3611
2011,CONNECTICUT,3580709,103,10254,7570,785,820,1079
2011,DELAWARE,906750,54,3139,1954,320,317,548
2011,DISTRICT OF COLUMBIA,617996,2,4919,3303,1012,277,327
2011,FLORIDA,18108630,357,71906,38145,6468,9772,17521
2011,GEORGIA,9110316,458,34432,21368,3964,3156,5944
2011,HAWAII,1374810,4,3733,2666,294,232,541
2011,IDAHO,1580103,108,4251,2588,171,289,1203
2011,ILLINOIS,11898578,690,46335,27917,5163,6459,6796
